deck,target_word,target_type,base_gloss,example_sentence,example_gloss
Phone & Wifi,My phone number,phrase,شماره تلفن من,"This is|My phone number","این شماره تلفن منه"
Phone & Wifi,Charger,word,شارژر,"I need|a|Charger;;I need|a|Taxi","نیاز دارم به شارژر؛؛نیاز دارم به تاکسی"
Phone & Wifi,No signal,phrase,آنتن نداره,,
Phone & Wifi,Battery,word,باتری,,
Emergencies & Health,Doctor,word,دکتر,"I need|a|Doctor;;I need|a|Charger","نیاز دارم به دکتر؛؛نیاز دارم به شارژر"
Emergencies & Health,Pharmacy,word,داروخانه,"Where is the|Pharmacy?","داروخانه کجاست؟"
Emergencies & Health,It hurts,phrase,درد می‌کنه,,
Emergencies & Health,I'm sick,phrase,مریضم,"I'm sick.|I need|a|Doctor.","مریضم. نیاز دارم به دکتر."
Emergencies & Health,Call an ambulance,phrase,آمبولانس خبر کن,,
Emergencies & Health,I'm allergic to,phrase,حساسیت دارم به,,
Making Plans,Let's meet,phrase,بیا همو ببینیم,,
Making Plans,What time works?,phrase,چه ساعتی خوبه؟,"Let's meet.|What time works?","بیا همو ببینیم. چه ساعتی خوبه؟"
Making Plans,I'm free,phrase,وقت دارم,"Tomorrow,|I'm free","فردا وقت دارم"
Making Plans,I'm busy,phrase,سرم شلوغه,"Today,|I'm busy","امروز سرم شلوغه"
Making Plans,See you later,phrase,بعداً می‌بینمت,,
Common Everyday Verbs in Action,I like,phrase,دوست دارم,"I like|This","این رو دوست دارم"
Common Everyday Verbs in Action,I don't like,phrase,دوست ندارم,"I don't like|This","این رو دوست ندارم"
Common Everyday Verbs in Action,Help,word,کمک,,
Common Everyday Verbs in Action,I can,phrase,می‌تونم,"I can|Help","می‌تونم کمک کنم"
Common Everyday Verbs in Action,Understand,word,می‌فهمم,,
Common Everyday Verbs in Action,I can't,phrase,نمی‌تونم,"I can't|Understand","نمی‌تونم بفهمم"
Describing People & Things,Big,word,بزرگ,"This is|Big","این بزرگه"
Describing People & Things,Small,word,کوچیک,"This is|Small","این کوچیکه"
Describing People & Things,Beautiful,word,قشنگ,"This is|Beautiful","این قشنگه"
Describing People & Things,Cheap,word,ارزون,"This is|Cheap","این ارزونه"
Public Signs & Announcements,Exit,word,خروجی,"Where is the|Exit?","خروجی کجاست؟"
Public Signs & Announcements,Entrance,word,ورودی,,
Public Signs & Announcements,Caution,word,احتیاط,,
Public Signs & Announcements,Delayed,word,تاخیر داره,"This is|Delayed","این تاخیر داره"
Public Signs & Announcements,Boarding now,phrase,پرواز شروع شد,,
Saying Goodbye & Staying in Touch,Take care,phrase,مواظب خودت باش,"Goodbye.|Take care.","خداحافظ. مواظب خودت باش."
Saying Goodbye & Staying in Touch,Keep in touch,phrase,در تماس باش,,
Saying Goodbye & Staying in Touch,My email is,phrase,ایمیل من اینه,"My email is|This.","ایمیلم اینه."
Saying Goodbye & Staying in Touch,Thanks for everything,phrase,خیلی ممنون,"Thanks for everything.|Goodbye.","خیلی ممنون. خداحافظ."
