id,unit_id,type,role,related_main_id,prompt,options,correct_index,image,audio,video,explanation
9037,1,multiple_choice,exercise,9029,"«I'm ___» که
یعنی «خسته‌ام»، کدام کلمه است؟",fine|good|tired,2,,,,"I'm tired
یعنی خسته‌ام — نه fine و نه good."
9039,1,true_false,preview,9038,"And you?
یعنی «تو چی؟»، درست یا غلط؟",,true,,,,"And you?
یعنی تو چی؟."
9038,1,multiple_choice,main,,"And you?
یعنی چی",تو چی؟|خسته‌ام|حالم خوب است,0,,,,"And you?
یعنی تو چی؟."
9040,1,order,exercise,9038,جمله را به ترتیب درست بچینید.,I'm fine.|And you?,,,,,بعد از پاسخ دادن، همان سؤال را برمی‌گردانید.
9041,1,multiple_choice,exercise,9038,کدام گزینه به معنای «تو چی؟» است,Good morning|And you?|I'm good,1,,,,"And you?
یعنی تو چی؟."
9042,1,speech_recognition,exercise,9038,I'm fine. And you?,,,,,,"این جمله را با صدای بلند بخوانید:
I'm fine. And you?"
9043,1,order,exercise,9038,این عبارت را با کلمات آن بچینید.,And|you?,,,,,"And you?
از دو کلمه ساخته شده است:
And + you?"
9044,1,multiple_choice,exercise,9038,"«And ___» که
یعنی «تو چی؟»، کدام کلمه است؟",fine|you?|tired,1,,,,"And you?
یعنی تو چی؟ — کلمه‌ی دوم آن «you?» است."
9046,1,true_false,preview,9045,"Please
یعنی «لطفاً»، درست یا غلط؟",,true,,,,"Please
یعنی لطفاً."
9045,1,multiple_choice,main,,"Please
یعنی چی؟",لطفاً|تو چی؟|سلام,0,,,,"Please
یعنی لطفاً."
9047,1,match_pairs,exercise,9045,هر عبارت را به معنای فارسی آن وصل کنید.,Please↔لطفاً|Hello↔سلام|I'm tired↔خسته‌ام,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9048,1,speech_recognition,exercise,9045,Please,,,,,,"آن را بگویید:
Please"
9049,1,type_answer,exercise,9045,«لطفاً» به انگلیسی چیست؟ تایپ کنید.,Please,,,,,"Please
یعنی لطفاً."
9051,1,true_false,preview,9050,"Thank you
یعنی «ممنون»، درست یا غلط؟",,true,,,,"Thank you
یعنی ممنون."
13009,1,true_false,preview,13010,"Water
یعنی «آب»، درست یا غلط؟",,true,,,,"Water
یعنی آب."
13010,1,multiple_choice,main,,"Water
یعنی چی؟",آب|یک|خوبم,0,,,,"Water
یعنی آب."
13011,1,order,exercise,13010,جمله را به ترتیب درست بچینید.,I want|a|Water.,,,,,این جمله را با کلماتی که تاکنون یاد گرفته‌اید می‌سازید. معنای آن: یک آب می‌خواهم.
13012,1,speech_recognition,exercise,13010,I want a Water.,,,,,,"این جمله را با صدای بلند بخوانید:
I want a Water."
13013,1,multiple_choice,exercise,13010,کدام گزینه به معنای «آب» است؟,Please|Hello|Water,2,,,,"Water
یعنی آب."
13014,1,match_pairs,exercise,13010,هر عبارت را به معنای فارسی آن وصل کنید.,Water↔آب|Yes↔بله|Good morning↔صبح بخیر,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
13015,1,speech_recognition,exercise,13010,Water,,,,,,"آن را بگویید:
Water"
13016,1,listening_card,exercise,13010,,select|I'm tired|Water|Excuse me,1,,course_107.wav,,"عبارتی که شنیدید:
Water
(آب)"
9050,1,multiple_choice,main,,"Thank you
یعنی چی؟",ممنون|لطفاً|تو چی؟,0,,,,"Thank you
یعنی ممنون."
9052,1,match_pairs,exercise,9050,هر عبارت را به معنای فارسی آن وصل کنید.,Thank you↔ممنون|How are you?↔حال شما چطور هست؟|Good morning↔صبح بخیر,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9053,1,speech_recognition,exercise,9050,Thank you,,,,,,"آن را بگویید:
Thank you"
9054,1,multiple_choice,exercise,9050,کدام گزینه به معنای «ممنون» است؟,Thank you|Please|Hello,0,,,,"Thank you
یعنی ممنون."
9055,1,order,exercise,9050,این عبارت را با کلمات آن بچینید.,Thank|you,,,,,"Thank you
از دو کلمه ساخته شده است:
Thank + you."
9056,1,multiple_choice,exercise,9050,"«Thank ___» که
یعنی «ممنون»، کدام کلمه است؟",fine|morning|you,2,,,,"Thank you
یعنی ممنون — کلمه‌ی دوم آن «you» است."
9058,1,true_false,preview,9057,"You're welcome
یعنی «خواهش می‌کنم»، درست یا غلط؟",,true,,,,"You're welcome
یعنی خواهش می‌کنم."
9057,1,multiple_choice,main,,"You're welcome
یعنی چی؟",خواهش می‌کنم|ممنون|لطفاً,0,,,,"You're welcome
یعنی خواهش می‌کنم."
9059,1,order,exercise,9057,جمله را به ترتیب درست بچینید.,Thank you.|You're welcome.,,,,,این یک جفت پاسخ طبیعی است: یکی تشکر می‌کند، دیگری پاسخ می‌دهد.
9060,1,match_pairs,exercise,9057,هر عبارت را به معنای فارسی آن وصل کنید.,You're welcome↔خواهش می‌کنم|Hello↔سلام|Please↔لطفاً,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9061,1,speech_recognition,exercise,9057,You're welcome,,,,,,"آن را بگویید:
You're welcome"
9062,1,order,exercise,9057,این عبارت را با کلمات آن بچینید.,You're|welcome,,,,,"You're welcome
از دو کلمه ساخته شده است:
You're + welcome."
9063,1,multiple_choice,exercise,9057,"«You're ___» که
یعنی «خواهش می‌کنم»، کدام کلمه است؟",tired|welcome|fine,1,,,,"You're welcome
یعنی خواهش می‌کنم — کلمه‌ی دوم آن «welcome» است."
9065,1,true_false,preview,9064,"Yes
یعنی «بله»، درست یا غلط؟",,true,,,,"Yes
یعنی بله."
9064,1,multiple_choice,main,,"Yes
یعنی چی؟",بله|خواهش می‌کنم|ممنون,0,,,,"Yes
یعنی بله."
9066,1,order,exercise,9064,جمله را به ترتیب درست بچینید.,"Yes,|Thank you",,,,,برای وقتی که چیزی را می‌پذیرید و ممنون هم هستید.
9067,1,match_pairs,exercise,9064,هر عبارت را به معنای فارسی آن وصل کنید.,Yes↔بله|Good morning↔صبح بخیر|I'm fine↔خوبم,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9068,1,speech_recognition,exercise,9064,Yes,,,,,,"آن را بگویید:
Yes"
9070,1,true_false,preview,9069,"No
یعنی «نه»، درست یا غلط؟",,true,,,,"No
یعنی نه."
13017,1,true_false,preview,13018,"This is
یعنی «این هست»، درست یا غلط؟",,true,,,,"This is
یعنی این هست."
13018,1,multiple_choice,main,,"This is
یعنی چی؟",این هست|ممنون|نه,0,,,,"This is
یعنی این هست."
13019,1,order,exercise,13018,جمله را به ترتیب درست بچینید.,This is|Water.,,,,,این جمله را با کلماتی که تاکنون یاد گرفته‌اید می‌سازید. معنای آن: این آب است.
13020,1,speech_recognition,exercise,13018,This is Water.,,,,,,"این جمله را با صدای بلند بخوانید:
This is Water."
13021,1,select_blank,exercise,13018,___ Water.,This is|I want|Thank you,0,,,,این جمله را با کلماتی که تاکنون یاد گرفته‌اید می‌سازید. معنای آن: این آب است.
13022,1,multiple_choice,exercise,13018,کدام گزینه به معنای «این هست» است؟,I'm good|I'm tired|This is,2,,,,"This is
یعنی این هست."
13023,1,match_pairs,exercise,13018,هر عبارت را به معنای فارسی آن وصل کنید.,This is↔این هست|Good morning↔صبح بخیر|Sorry↔متاسفم,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
13024,1,speech_recognition,exercise,13018,This is,,,,,,"آن را بگویید:
This is"
13025,1,type_answer,exercise,13018,«این هست» به انگلیسی چیست؟ تایپ کنید.,This is,,,,,"This is
یعنی این هست."
13026,1,listening_card,exercise,13018,,select|Hello|This is|Thank you,1,,course_115.wav,,"عبارتی که شنیدید:
This is
(این هست)"
9069,1,multiple_choice,main,,"No
یعنی چی؟",نه|بله|خواهش می‌کنم,0,,,,"No
یعنی نه."
9071,1,order,exercise,9069,جمله را به ترتیب درست بچینید.,"No,|Thank you",,,,,برای وقتی که چیزی را رد می‌کنید ولی همچنان مودبانه تشکر می‌کنید.
9072,1,match_pairs,exercise,9069,هر عبارت را به معنای فارسی آن وصل کنید.,No↔نه|Hello↔سلام|You're welcome↔خواهش می‌کنم,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9073,1,speech_recognition,exercise,9069,No,,,,,,"آن را بگویید:
No"
9075,1,true_false,preview,9074,"Excuse me
یعنی «ببخشید»، درست یا غلط؟",,true,,,,"Excuse me
یعنی ببخشید."
9074,1,multiple_choice,main,,"Excuse me
یعنی چی؟",ببخشید|نه|بله,0,,,,"Excuse me
یعنی ببخشید — برای جلب توجه."
9076,1,match_pairs,exercise,9074,هر عبارت را به معنای فارسی آن وصل کنید.,Excuse me↔ببخشید|How are you?↔حال شما چطور هست؟|Please↔لطفاً,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9077,1,speech_recognition,exercise,9074,Excuse me,,,,,,"آن را بگویید:
Excuse me"
9078,1,type_answer,exercise,9074,«ببخشید» به انگلیسی چیست؟ تایپ کنید.,Excuse me,,,,,"Excuse me
یعنی ببخشید."
9079,1,order,exercise,9074,این عبارت را با کلمات آن بچینید.,Excuse|me,,,,,"Excuse me
از دو کلمه ساخته شده است:
Excuse + me."
9080,1,multiple_choice,exercise,9074,"«Excuse ___» که
یعنی «ببخشید»، کدام کلمه است؟",fine|me|morning,1,,,,"Excuse me
یعنی ببخشید — کلمه‌ی دوم آن «me» است."
9082,1,true_false,preview,9081,"Sorry
یعنی «متاسفم»، درست یا غلط؟",,true,,,,"Sorry
یعنی متاسفم."
9081,1,multiple_choice,main,,"Sorry
یعنی چی؟",متاسفم|ببخشید|نه,0,,,,"Sorry
یعنی متاسفم — برای عذرخواهی، نه جلب توجه."
9083,1,match_pairs,exercise,9081,هر عبارت را به معنای فارسی آن وصل کنید.,Sorry↔متاسفم|Excuse me↔ببخشید|Hello↔سلام,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9084,1,speech_recognition,exercise,9081,Sorry,,,,,,"آن را بگویید:
Sorry"
9085,1,type_answer,exercise,9081,«متاسفم» به انگلیسی چیست؟ تایپ کنید.,Sorry,,,,,"Sorry
یعنی متاسفم."
9087,1,true_false,preview,9086,"Goodbye
یعنی «خداحافظ»، درست یا غلط؟",,true,,,,"Goodbye
یعنی خداحافظ."
13027,1,true_false,preview,13028,"I'm hungry
یعنی «گرسنه هستم»، درست یا غلط؟",,true,,,,"I'm hungry
یعنی گرسنه هستم."
13028,1,multiple_choice,main,,"I'm hungry
یعنی چی؟",گرسنه هستم|این هست|نه,0,,,,"I'm hungry
یعنی گرسنه هستم."
13029,1,multiple_choice,exercise,13028,کدام گزینه به معنای «گرسنه هستم» است؟,This is|a|I'm hungry,2,,,,"I'm hungry
یعنی گرسنه هستم."
13030,1,match_pairs,exercise,13028,هر عبارت را به معنای فارسی آن وصل کنید.,I'm hungry↔گرسنه هستم|a↔یک|I want↔می‌خواهم,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
13031,1,speech_recognition,exercise,13028,I'm hungry,,,,,,"آن را بگویید:
I'm hungry"
13032,1,listening_card,exercise,13028,,select|Good morning|I'm hungry|I'm fine,1,,course_125.wav,,"عبارتی که شنیدید:
I'm hungry
(گرسنه هستم)"
9086,1,multiple_choice,main,,"Goodbye
یعنی چی؟",خداحافظ|متاسفم|ببخشید,0,,,,"Goodbye
یعنی خداحافظ."
9088,1,match_pairs,exercise,9086,هر عبارت را به معنای فارسی آن وصل کنید.,Goodbye↔خداحافظ|Hello↔سلام|How are you?↔حال شما چطور هست؟|You're welcome↔خواهش می‌کنم,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9089,1,speech_recognition,exercise,9086,Goodbye,,,,,,"آن را بگویید:
Goodbye"
9090,1,type_answer,exercise,9086,«خداحافظ» به انگلیسی چیست؟ تایپ کنید.,Goodbye,,,,,"Goodbye
یعنی خداحافظ."
12437,1,preview_card,preview,12438,حالا یک مکالمه‌ی کوتاه می‌بینید که فقط از کلمات همین درس ساخته شده، با چند جای خالی. باید جاهای خالی را با کلمه‌ی درست پر کنید.,قبول,,,,,
12438,1,cloze_passage,main,,"Ali: Hello! {{1}}, please.
Sara: Yes, this is {{2}}.
Ali: {{3}}! I'm thirsty.",choice|Excuse me~I'm thirsty~Please|I want~water~Hello|Thank you~Please~I'm thirsty,0|1|0,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12439,1,cloze_passage,exercise,12438,"Ali: {{1}}! Excuse me, please.
Sara: {{2}}, this is water.
Ali: Thank you! I'm thirsty.",word_bank|Hello~Sorry~No~Yes|Hello~Yes,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12440,1,cloze_passage,exercise,12438,"Ali: {{1}}! Excuse me, please.
Sara: {{2}}, this is water.
Ali: Thank you! I'm thirsty.",choice|I want~Hello~Excuse me|Yes~I'm hungry~Please,1|0,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12441,1,cloze_passage,exercise,12438,"Ali: Hello! {{1}}, please.
Sara: Yes, this is {{2}}.
Ali: {{3}}! I'm thirsty.",word_bank|No~Sorry~Thank you~water~Excuse me|Excuse me~water~Thank you,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12527,1,preview_card,preview,12528,حالا یک مکالمه‌ی کوتاه می‌بینید که فقط از کلمات همین درس ساخته شده، با چند جای خالی. باید جاهای خالی را با کلمه‌ی درست پر کنید.,قبول,,,,,
12528,1,cloze_passage,main,,"Ali: Sorry! {{1}}, thank you.
Sara: {{2}}, this is {{3}}.",choice|Excuse me~Hello~No|Please~Thank you~This is|I'm thirsty~water~This is,2|0|1,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12529,1,cloze_passage,exercise,12528,"Ali: Sorry! {{1}}, thank you.
Sara: {{2}}, this is {{3}}.",word_bank|Please~water~No~Excuse me~Yes|No~Please~water,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12530,1,cloze_passage,exercise,12528,"Ali: Sorry! {{1}}, thank you.
Sara: {{2}}, this is {{3}}.",choice|I'm hungry~No~I want|Please~I want~I'm thirsty|water~This is~Hello,1|0|0,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12531,1,cloze_passage,exercise,12528,"Ali: Sorry! {{1}}, thank you.
Sara: {{2}}, this is {{3}}.",word_bank|Please~Yes~water~No~Excuse me|No~Please~water,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12532,1,preview_card,preview,12533,حالا یک مکالمه‌ی کوتاه می‌بینید که فقط از کلمات همین درس ساخته شده، با چند جای خالی. باید جاهای خالی را با کلمه‌ی درست پر کنید.,قبول,,,,,
13033,1,true_false,preview,13034,"I'm thirsty
یعنی «تشنه هستم»، درست یا غلط؟",,true,,,,"I'm thirsty
یعنی تشنه هستم."
13034,1,multiple_choice,main,,"I'm thirsty
یعنی چی؟",تشنه هستم|لطفاً|نه,0,,,,"I'm thirsty
یعنی تشنه هستم."
13035,1,order,exercise,13034,جمله را به ترتیب درست بچینید.,I'm thirsty.|I want|Water.,,,,,این جمله را با کلماتی که تاکنون یاد گرفته‌اید می‌سازید. معنای آن: تشنه‌ام. آب می‌خواهم.
13036,1,speech_recognition,exercise,13034,I'm thirsty. I want Water.,,,,,,"این جمله را با صدای بلند بخوانید:
I'm thirsty. I want Water."
13037,1,multiple_choice,exercise,13034,کدام گزینه به معنای «تشنه هستم» است؟,I'm thirsty|a|I'm fine,0,,,,"I'm thirsty
یعنی تشنه هستم."
13038,1,match_pairs,exercise,13034,هر عبارت را به معنای فارسی آن وصل کنید.,I'm thirsty↔تشنه هستم|Water↔آب|a↔یه,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
13039,1,speech_recognition,exercise,13034,I'm thirsty,,,,,,"آن را بگویید:
I'm thirsty"
13040,1,listening_card,exercise,13034,,select|This is|I'm good|I'm thirsty,2,,course_131.wav,,"عبارتی که شنیدید:
I'm thirsty
(تشنه هستم)"
12533,1,cloze_passage,main,,"Ali: {{1}} water, {{2}}.
Sara: {{3}}, this is water.",choice|Sorry~a~I want|please~Water~Thank you|I'm hungry~Sorry~Yes,2|0|2,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12534,1,cloze_passage,exercise,12533,"Ali: {{1}} water, {{2}}.
Sara: {{3}}, this is water.",word_bank|Sorry~No~I want~please~Yes|I want~please~Yes,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12535,1,cloze_passage,exercise,12533,"Ali: {{1}} water, {{2}}.
Sara: {{3}}, this is water.",choice|Water~I want~Sorry|Hello~please~I'm thirsty|Excuse me~Yes~This is,1|1|1,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12536,1,cloze_passage,exercise,12533,"Ali: {{1}} water, {{2}}.
Sara: {{3}}, this is water.",word_bank|Yes~please~No~I want~Sorry|I want~please~Yes,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12537,1,preview_card,preview,12538,حالا یک مکالمه‌ی کوتاه می‌بینید که فقط از کلمات همین درس ساخته شده، با چند جای خالی. باید جاهای خالی را با کلمه‌ی درست پر کنید.,قبول,,,,,
12538,1,cloze_passage,main,,"Ali: {{1}}! {{2}}.
Sara: Sorry, no {{3}}.",choice|I want~I'm thirsty~Excuse me|I'm hungry~I want~Thank you|a~Sorry~water,2|0|2,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12539,1,cloze_passage,exercise,12538,"Ali: {{1}}! {{2}}.
Sara: Sorry, no {{3}}.",word_bank|Excuse me~This is~water~Please~I'm hungry|Excuse me~I'm hungry~water,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12540,1,cloze_passage,exercise,12538,"Ali: {{1}}! {{2}}.
Sara: Sorry, no {{3}}.",choice|I'm thirsty~Excuse me~This is|Thank you~a~I'm hungry|water~I'm thirsty~Sorry,1|2|0,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12541,1,cloze_passage,exercise,12538,"Ali: {{1}}! {{2}}.
Sara: Sorry, no {{3}}.",word_bank|This is~water~I'm hungry~Please~Excuse me|Excuse me~I'm hungry~water,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12542,1,preview_card,preview,12543,حالا یک مکالمه‌ی کوتاه می‌بینید که فقط از کلمات همین درس ساخته شده، با چند جای خالی. باید جاهای خالی را با کلمه‌ی درست پر کنید.,قبول,,,,,
12543,1,cloze_passage,main,,"Ali: {{1}}! I'm thirsty.
Sara: {{2}} water. {{3}}!",choice|I'm thirsty~I'm hungry~Hello|I'm thirsty~a~This is|Thank you~Water~Sorry,2|2|0,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12544,1,cloze_passage,exercise,12543,"Ali: {{1}}! I'm thirsty.
Sara: {{2}} water. {{3}}!",word_bank|Thank you~This is~Hello~No~Sorry|Hello~This is~Thank you,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
12545,1,cloze_passage,exercise,12543,"Ali: {{1}}! I'm thirsty.
Sara: {{2}} water. {{3}}!",choice|Sorry~Hello~Excuse me|Excuse me~No~This is|I want~Please~Thank you,1|2|2,,,,جاهای خالی را با کلمه‌ی درست پر کنید.
12546,1,cloze_passage,exercise,12543,"Ali: {{1}}! I'm thirsty.
Sara: {{2}} water. {{3}}!",word_bank|This is~Thank you~Sorry~No~Hello|Hello~This is~Thank you,,,,,کلمه‌های درست را از بین گزینه‌ها انتخاب کنید.
9815,2,true_false,preview,9816,"I
یعنی «من»، درست یا غلط؟",,true,,,,"I
یعنی من."
9816,2,multiple_choice,main,,"I
یعنی چی؟",من|هستم,0,,,,"I
یعنی من."
9817,2,speech_recognition,exercise,9816,I,,,,,,"آن را بگویید:
I"
9819,2,type_answer,exercise,9816,«من» را به انگلیسی بنویسید.,I,,,,,I
9820,2,true_false,preview,9821,"am
یعنی «هستم»، درست یا غلط؟",,true,,,,"am
یعنی هستم."
9821,2,multiple_choice,main,,"am
یعنی چی؟",هستم|من,0,,,,"am
یعنی هستم — فعل ربطی بعد از I."
9822,2,order,exercise,9821,جمله را به ترتیب درست بچینید.,I|am,,,,,"I + am
کنار هم می‌آیند:
I am."
9823,2,speech_recognition,exercise,9821,I am,,,,,,"این عبارت را با صدای بلند بخوانید:
I am"
9824,2,match_pairs,exercise,9821,هر عبارت را به معنای فارسی آن وصل کنید.,am↔هستم|I↔من,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9825,2,true_false,preview,9826,"My
یعنی «مال من»، درست یا غلط؟",,true,,,,"My
یعنی مال من."
9826,2,multiple_choice,main,,"My
یعنی چی؟",مال من|هستم,0,,,,"My
یعنی مال من — برای گفتن مالکیت."
9827,2,speech_recognition,exercise,9826,My,,,,,,"آن را بگویید:
My"
9828,2,match_pairs,exercise,9826,هر عبارت را به معنای فارسی آن وصل کنید.,My↔مال من|I↔من|am↔هستم,,,,,هر عبارت را با معنای فارسی آن جفت کنید.
9829,2,multiple_choice,exercise,9826,کدام گزینه به معنای «مال من» است؟,am|I|My,2,,,,"My
یعنی مال من."
